feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Gallicola	Diet	IM	-6.95656940616533	0.48984082958551	47	34	1.23449399786031e-17	3.12642939719038e-16
Peptostreptococcus	Diet	IM	-8.16961499012346	0.314366045662406	47	46	4.42246212333856e-17	1.00552823014856e-15
Actinomyces	Diet	IM	6.20780096599348	0.481108070876708	47	36	3.32300885759957e-16	7.17769913241507e-15
Streptococcus	Diet	IM	-5.63241383186011	0.444827106659773	47	43	6.26338549207566e-16	1.28846787265556e-14
Fusobacterium	Diet	IM	-7.23942251855751	0.587635608377252	47	31	1.56031527797261e-15	3.06389181856441e-14
Romboutsia	Diet	IM	-2.07873702280467	0.116344213601211	47	24	1.89067163541155e-15	3.5511745499904e-14
Corynebacterium.1	Diet	IM	3.54825866814667	0.229634970780277	47	46	7.49029170678096e-14	1.34825250722057e-12
Cellulosimicrobium	Diet	IM	2.92881614293367	0.268624776334813	47	21	7.97916364335154e-14	1.37879947757115e-12
Globicatella	Diet	IM	3.546213215828	0.390644354328133	47	46	1.85665324832239e-11	3.08490078182797e-10
f__Eggerthellaceae	Diet	IM	-5.21655144653891	0.436865201597981	47	23	5.11266893583633e-11	8.18027029733813e-10
f__Erysipelotrichaceae	Diet	IM	-4.01200002853512	0.465415904652544	47	21	7.76213234986094e-11	1.19758613397854e-09
Ornithinibacillus	Diet	IM	9.90864831736316	0.20727747045054	47	26	5.95026922764827e-10	8.86384933222087e-09
Bacteroides	Diet	IM	-4.36702823644136	0.56304707203264	47	29	1.22948140060672e-09	1.77045321687368e-08
Brevibacterium	Diet	IM	4.17966854914736	0.471968827440127	47	41	4.82962906046206e-09	6.73032178748261e-08
Erysipelatoclostridium	Diet	IM	2.73132931100761	0.396427849773278	47	17	2.08935236882029e-08	2.82062569790739e-07
o__Bacillales	Diet	IM	3.24560646957749	0.401799969858904	47	43	2.69739383352118e-08	3.53113374570045e-07
Glutamicibacter	Diet	IM	-2.41117242471478	0.366891862127216	47	21	5.97308269058773e-08	7.5893285950997e-07
Curtobacterium	Diet	IM	-2.73917376127777	0.419780575203821	47	19	6.969980607474e-08	8.60294749265362e-07
Propionibacterium	Diet	IM	-4.57584592273743	0.170978795051301	47	25	8.29784680974711e-08	9.95741617169654e-07
Leuconostoc	Diet	IM	-7.55638328187628	0.372272694010703	47	40	3.19089163231318e-07	3.7255815815116e-06
Macrococcus	Diet	IM	2.73746865383092	0.458878384802255	47	43	4.45189834195911e-07	5.06110548349036e-06
Pediococcus	Diet	IM	-5.70371469104875	0.310569432965884	47	44	6.25298523532599e-07	6.92638364528417e-06
Lactococcus	Diet	IM	-6.95195635028355	0.403985074034458	47	38	9.67551237093513e-07	1.04495533606099e-05
f__Planococcaceae	Diet	IM	2.74149017055378	0.426431369886915	47	41	1.1445144177748e-06	1.20592738653344e-05
Peptoniphilus	Diet	IM	-6.67190276040424	0.470585775709029	47	27	2.36686386547378e-06	2.43448854734446e-05
Hathewaya	Diet	IM	-2.63139215967128	0.484466284517158	47	18	2.59703726339333e-06	2.60911650647888e-05
Saccharomonospora	Diet	IM	2.22291681401439	0.341247729138775	47	18	3.54996733710533e-06	3.48542247643069e-05
Bacillus	Diet	IM	3.62992558883563	0.224759690358395	47	47	4.1154850588823e-06	3.95086565652701e-05
Clostridium.sensu.stricto.15	Diet	IM	-3.70760755063158	0.621166502024107	47	22	4.77317227401376e-06	4.48053549873764e-05
Vagococcus	Diet	IM	-3.55441291384461	0.285565680934115	47	47	4.87465667686734e-06	4.48053549873764e-05
Tepidimicrobium	Diet	IM	-5.86796231142353	0.398893907095847	47	29	5.04802634047623e-06	4.54322370642861e-05
Peptococcus	Diet	IM	-2.41817376115817	0.468568408713799	47	15	6.30719336666422e-06	5.56062762122233e-05
Lysinibacillus	Diet	IM	6.5918648492252	0.561454970784653	47	43	1.08728705117097e-05	9.39416012211721e-05
o__Lactobacillales	Diet	IM	6.13114458750857	0.554593960756095	47	41	1.14442573480139e-05	9.69395916537649e-05
f__Enterococcaceae	Diet	IM	4.5485279020997	0.445419364316383	47	43	2.5025593571584e-05	0.000207904931210083
f__Bacillaceae	Diet	IM	7.40028460734936	0.695872339743288	47	45	3.09485621563183e-05	0.000252259978330745
Anaerosporobacter	Diet	IM	2.2536851396541	0.436935600890914	47	14	3.6916217777068e-05	0.000290547315410601
Photobacterium	Segment	DI	-1.72773977512726	0.374524400392357	47	31	3.69909776564423e-05	0.000290547315410601
Moritella	Diet	IM	-3.04760154354819	0.681900505400484	47	19	5.84218668927657e-05	0.000450682973172764
Sphingobacterium	Segment	DI	-2.89200631098986	0.651142109922462	47	27	6.37943352356041e-05	0.000483493909154052
Lactobacillus	Segment	DI	-0.330657422107147	0.0756949702143793	47	47	8.03241999535147e-05	0.000598276799653765
Carnobacterium	Diet	IM	-5.24036199004502	0.651387998819633	47	22	9.32163386115038e-05	0.000682533191189316
Virgibacillus	Diet	IM	1.091261685611	0.253395453423211	47	12	9.74794379013671e-05	0.000701851952889843
Exiguobacterium	Diet	IM	1.6354731346604	0.381692294777456	47	21	0.00010434249586515	0.000738950134651557
Jeotgalicoccus	Diet	IM	-2.16418394076465	0.513340377310205	47	17	0.000129337008955091	0.000901186901106443
f__Acidaminococcaceae	Diet	IM	-2.57766439828104	0.591464481478416	47	19	0.000211422834173273	0.00144975657718816
Cerasibacillus	Diet	IM	-1.40187468302434	0.322077803742505	47	16	0.000237014423533047	0.00159984735884807
f__Enterococcaceae	Segment	DI	-1.00851489559323	0.251630869272995	47	43	0.000290667020089489	0.00193181773351783
f__Peptostreptococcaceae	Segment	DI	-1.14196704252139	0.293418831207389	47	42	0.000349369547085218	0.00228678249001234
Fusobacterium	Segment	DI	-2.11543328383577	0.545232969414485	47	31	0.000362342390199647	0.00233629720248131
Sporosarcina	Segment	DI	-2.23053878470803	0.533624449251811	47	26	0.000383755227707255	0.00243797438778727
Acidipropionibacterium	Diet	IM	-4.19166533065554	0.604874980363174	47	24	0.000440993048204396	0.00276099995397535
Saccharopolyspora	Diet	IM	-1.94201105968826	0.516387900336703	47	17	0.000518130074193101	0.00319760274359171
Megasphaera	Diet	IM	-2.09383859382012	0.338186498497433	47	22	0.000555778355829788	0.00338163731997843
Savagea	Segment	DI	-1.13098198707133	0.28066431286054	47	42	0.000578938994376603	0.00347363396625962
Eubacterium.nodatum.group	Diet	IM	-2.23035221783952	0.565493982904128	47	16	0.000602867486435834	0.00356765416630521
Atopococcus	Diet	IM	1.43995553943471	0.37038613340531	47	13	0.000707089150718164	0.00412787179878712
Atopostipes	Diet	IM	-2.83232654501918	0.736442169131397	47	23	0.000767176540968574	0.00441893687597899
Gracilibacillus	Segment	DI	0.221450141964801	0.0616179863528511	47	23	0.000848690325130362	0.00482413447968837
Clostridium.sensu.stricto.1	Diet	IM	4.55058060579582	0.724282902314401	47	42	0.000967343395530513	0.0054271733359634
Anaerocolumna	Diet	IM	1.67308829083896	0.303335777107354	47	17	0.00104392199586204	0.00570853547104305
Comamonas	Segment	DI	-2.40449145830568	0.682374589283112	47	21	0.00104165844606542	0.00570853547104305
Pantoea	Diet	IM	-1.84509584371202	0.530680804887472	47	14	0.00119316181564489	0.00644307380448242
Herbinix	Diet	IM	2.37033385008486	0.477573751375612	47	26	0.0012932881418084	0.00689753675631147
Clostridium.sensu.stricto.5	foxp3	foxp3	-0.604854875619943	0.176108632238539	47	23	0.00134778963482723	0.00710055027128491
f__Corynebacteriaceae	Diet	IM	1.77703027407129	0.525718152692771	47	31	0.00157480029168976	0.0080989729286902
Pseudomonas	Diet	IM	-1.99242781580605	0.557900591899076	47	25	0.00156454828826846	0.0080989729286902
Anaerocolumna	Segment	DI	0.650437482013556	0.180743287290109	47	17	0.00165395114557356	0.00836747290370463
Atopobium	Diet	IM	-1.98004872285937	0.557266953345097	47	16	0.0016657469206449	0.00836747290370463
Shewanella	Diet	IM	-1.30231510709717	0.390369783861701	47	12	0.00178525339730354	0.00886470652454174
Bacteroides	Segment	DI	-1.73840038612002	0.522418693877728	47	29	0.00182882673182715	0.00897787668351511
Lactovum	Diet	IM	-1.8955275250232	0.322144112057091	47	21	0.00189089237601068	0.00917826411726535
Acinetobacter	Segment	DI	-1.62208501332253	0.467988242877914	47	20	0.00217826754158034	0.0104556841995856
Empedobacter	Diet	IM	-2.03264088999197	0.595941836889783	47	16	0.00241168590876696	0.0114488825559047
Sphaerochaeta	Diet	IM	-1.85166047275558	0.426869002081732	47	16	0.00356699891808619	0.0167493862240569
Morganella	Segment	DI	-1.65580725573727	0.547101549257026	47	14	0.00421340144116011	0.0195719292750663
Kocuria	Diet	IM	-1.65220373614352	0.523717812956529	47	12	0.00430113911796987	0.0197669372230105
Brochothrix	Diet	IM	-1.92492665377596	0.470588301599497	47	17	0.00512186286654777	0.0232909974563015
Ornithinibacillus	Segment	DI	0.433896480471174	0.146843046217667	47	26	0.00545160967541086	0.0245322435393489
Anaerosalibacter	Diet	IM	-3.00438656990883	0.737412838100795	47	26	0.00595903466342082	0.0265392059236886
Sphingobacterium	Diet	IM	2.00112898361898	0.701781277671518	47	27	0.00672072280181458	0.0296260433712643
Tissierella	Diet	IM	-3.27196252155558	0.856656781077705	47	16	0.00740083410125543	0.0322945488054782
Acidipropionibacterium	foxp3	foxp3	-0.733911303146245	0.263357332254703	47	24	0.00798602148200346	0.0344996128022549
Clostridium.sensu.stricto.18	Diet	IM	-2.80180927683366	0.729110665897074	47	22	0.00847234943976446	0.0362381679007747
Pantoea	Segment	DI	-1.35362269593225	0.492387913419826	47	14	0.00877317970030146	0.0371569963777474
Psychrilyobacter	Segment	DI	-0.874944840073514	0.319924943896281	47	31	0.00910104009575816	0.0381713526346361
f__Family.XI	Diet	IM	-1.17389312032328	0.432187664921337	47	12	0.00954783159177125	0.0396602235350498
Vagococcus	Segment	DI	-0.577833752218683	0.213776372144771	47	47	0.0103604899310988	0.0426260157165207
f__Beutenbergiaceae	Segment	DI	-0.16566460774294	0.0618287075032725	47	23	0.0104866308749515	0.0427379673394249
Clostridium.sensu.stricto.5	Segment	DI	-0.822037369671709	0.314445661682019	47	23	0.012363024381409	0.0499142666613895
Paenibacillus	Diet	IM	2.96081965421631	0.850887391562599	47	41	0.0127979673476432	0.051030819929578
Saccharomonospora	plin2	plin2	0.3740966725083	0.141947215853503	47	18	0.0128758318803796	0.051030819929578
p__RsaHF231	plin2	plin2	-0.0999481258156919	0.0386127961343077	47	24	0.013987824071005	0.0544390990871546
Pseudomonas	Segment	DI	-1.36247887909423	0.509745263398274	47	25	0.0139060138795064	0.0544390990871546
Sphingobacterium	foxp3	foxp3	-0.929130742890764	0.36467905379252	47	27	0.0145887891933921	0.0562710440316551
Empedobacter	Segment	DI	-1.26332591865086	0.481766221695766	47	16	0.0160325104062585	0.0612924291637492
Allofustis	Diet	IM	-1.7493780997669	0.564737089221514	47	12	0.0211156540614111	0.0800172153906105
Aliivibrio	Diet	IM	-2.40614121622168	0.804414933581273	47	16	0.0225997412453536	0.0841645536033859
Saccharomonospora	Segment	DI	0.625800993344863	0.247855018291519	47	18	0.0224355628921681	0.0841645536033859
Peptococcus	plin2	plin2	0.537755169622872	0.228696963594834	47	15	0.0234703552969376	0.0866597734040774
Gracilibacillus	plin2	plin2	0.0754864122145361	0.0324131240103713	47	23	0.0247504883038179	0.0898505121617592
Savagea	Diet	IM	1.89882028278839	0.632697969819983	47	42	0.0247418752008812	0.0898505121617592
Cetobacterium	foxp3	foxp3	-0.597705486563559	0.259337685741956	47	27	0.0261934199329714	0.0942963117586969
Sphaerochaeta	Segment	DI	-0.896901050502528	0.394794289361104	47	16	0.029098297210103	0.103888135493922
Moritella	Segment	DI	-1.41729356270605	0.632695895389066	47	19	0.0304343904080417	0.107767677510443
Lactococcus	foxp3	foxp3	-0.395272319988727	0.180563880395821	47	38	0.0342458483693354	0.120278101589861
f__Peptostreptococcaceae	foxp3	foxp3	-0.357826591491061	0.164332332526244	47	42	0.0351145932910619	0.122334712110796
Flavobacterium	Segment	DI	-1.3868938404165	0.641596201661896	47	17	0.0363937452280971	0.125776783508304
Anaerosporobacter	Segment	DI	0.745971720931959	0.336777958069685	47	14	0.0388166886978942	0.133085789821352
Cetobacterium	Segment	DI	-0.975383070931341	0.463052884777144	47	27	0.0411837372547608	0.140089562945328
Brevibacterium	Segment	DI	-0.690421398937073	0.318515796360305	47	41	0.0415211656042482	0.140133933914338
f__Planococcaceae	Segment	DI	-0.674851917175726	0.322660273775159	47	41	0.0482730457312907	0.161658571751299
Nosocomiicoccus	Diet	IM	1.40718661838489	0.587618209137773	47	32	0.0499148714104654	0.16587095730247
Acinetobacter	foxp3	foxp3	-0.535396310726655	0.26870727112537	47	20	0.0529431642369072	0.174591198094228
Anaerosporobacter	plin2	plin2	0.373696263633627	0.189407981263474	47	14	0.0563096662292435	0.182900570007768
Bacteroides	foxp3	foxp3	-0.574564407335091	0.292586137593743	47	29	0.0562019363635472	0.182900570007768
Enterococcus	foxp3	foxp3	-0.271896625088883	0.139196974025073	47	46	0.0574644669036443	0.183336009333498
f__Atopobiaceae	Segment	DI	-0.28530019695265	0.142072849076905	47	26	0.0577168918272123	0.183336009333498
Ornithinibacillus	plin2	plin2	-0.158456554791493	0.0810544725284986	47	26	0.0572753978385016	0.183336009333498
Microbacterium	plin2	plin2	-0.0788895776667729	0.0407505708799859	47	24	0.0596280260443812	0.188024140519509
Erysipelatoclostridium	Segment	DI	-0.705623810410667	0.367822389605298	47	17	0.0618771406759689	0.193702353420424
Anaerocolumna	plin2	plin2	0.206913455839085	0.107873705035382	47	17	0.0641285109217408	0.199305875670446
Peptococcus	foxp3	foxp3	0.459408203369897	0.24349051387318	47	15	0.0661179765982039	0.204021184931601
Oceanobacillus	Segment	DI	0.70735277122053	0.376809242866314	47	39	0.0674455823068658	0.206641784089121
f__Lachnospiraceae	Diet	IM	0.430337001180701	0.234661205146282	47	47	0.0737661291297126	0.224022522955112
Megasphaera	plin2	plin2	-0.29236858338696	0.159525538390767	47	22	0.074155603663382	0.224022522955112
Morganella	plin2	plin2	-0.525710150893239	0.287793733809896	47	14	0.0748590952214778	0.224577285664433
Comamonas	plin2	plin2	-0.651668134724074	0.358951882284876	47	21	0.0765951862111691	0.228200830642931
Hathewaya	plin2	plin2	-0.426865053209036	0.236456334171728	47	18	0.0782058875163788	0.228655297065702
o__Lactobacillales	foxp3	foxp3	0.420085901122613	0.232308443849114	47	41	0.0778038012471179	0.228655297065702
Oceanobacillus	plin2	plin2	-0.357666676245099	0.198214278657855	47	39	0.0783356110317683	0.228655297065702
Clostridium.sensu.stricto.15	foxp3	foxp3	0.565218323257865	0.317018890613097	47	22	0.0819493698485766	0.237598172983793
Peptostreptococcus	plin2	plin2	-0.272126616826205	0.153334721920536	47	46	0.0836420625287539	0.240889140082811
Saccharomonospora	foxp3	foxp3	0.279844309217077	0.158930141501527	47	18	0.0855987214336481	0.244891706353218
Allofustis	foxp3	foxp3	0.376547028867267	0.215711671813873	47	12	0.0883854152738222	0.251200653936126
f__Acidaminococcaceae	foxp3	foxp3	-0.468415777719647	0.272469775888189	47	19	0.0929989439803122	0.26258525359147
Cerasibacillus	Segment	DI	-0.424466709641693	0.244181914160757	47	16	0.0971298691017152	0.272394205083517
Erysipelatoclostridium	plin2	plin2	-0.327701984273881	0.193486892930833	47	17	0.0977340319165395	0.272394205083517
f__Lachnospiraceae	Segment	DI	-0.367285876151285	0.217728510431162	47	47	0.0990378832074853	0.272511882456265
p__RsaHF231	foxp3	foxp3	-0.0734449744071672	0.0435143032798181	47	24	0.0989178180299675	0.272511882456265
f__Beutenbergiaceae	plin2	plin2	-0.0543996029241318	0.0325239703911846	47	23	0.101840283641253	0.2766981291385
Glutamicibacter	plin2	plin2	0.299804884514524	0.179071088182129	47	21	0.101519039568793	0.2766981291385
Actinomyces	foxp3	foxp3	0.409952473111359	0.250006720956419	47	36	0.108523733942015	0.282423211222594
Allofustis	plin2	plin2	0.327702205259713	0.198467309681614	47	12	0.107656757313793	0.282423211222594
Atopostipes	plin2	plin2	-0.567947155433282	0.345059922188176	47	23	0.107784462615858	0.282423211222594
Cellulosimicrobium	Segment	DI	-0.40912743898691	0.249241336589163	47	21	0.108163809964336	0.282423211222594
Enterococcus	Segment	DI	-0.410792907976994	0.248539120684115	47	46	0.105822642328526	0.282423211222594
Glutamicibacter	foxp3	foxp3	0.314385060531025	0.190654526391277	47	21	0.106613321098653	0.282423211222594
Tissierella	Segment	DI	0.945064560464796	0.561175553523477	47	16	0.10660661607044	0.282423211222594
Sphaerochaeta	foxp3	foxp3	-0.358298569852917	0.221245230086576	47	16	0.112934132945693	0.292140990614008
Kurthia	plin2	plin2	-0.18050690920693	0.112786585584211	47	47	0.116999665311379	0.30085628222926
Ureibacillus	foxp3	foxp3	0.223838018905346	0.140957892224268	47	46	0.119853201778969	0.306370314606595
Geobacillus	foxp3	foxp3	-0.142019962626878	0.0900668799957633	47	25	0.122338436133832	0.309170652430926
Vagococcus	plin2	plin2	-0.184597820400914	0.117082408113504	47	47	0.122380049920575	0.309170652430926
Atopobium	plin2	plin2	-0.369734190770527	0.23473494232933	47	16	0.12412855557216	0.311764744227751
Fusobacterium	foxp3	foxp3	-0.477146672890311	0.305363514895754	47	31	0.12566214679016	0.313792181580052
f__Family.XI	Segment	DI	-0.619693492196426	0.401001846263364	47	12	0.129760887732866	0.322164962647117
Kroppenstedtia	foxp3	foxp3	0.357409552323021	0.232258148971338	47	16	0.13135268595953	0.324253487625812
Acinetobacter	plin2	plin2	-0.373397742004724	0.250246957862112	47	20	0.143603354548028	0.350917043279665
Ureibacillus	Diet	IM	-0.422966271299515	0.279979591583939	47	46	0.143778510788196	0.350917043279665
f__Erysipelotrichaceae	Segment	DI	-0.635219940248483	0.431832401047293	47	21	0.148747689911075	0.361005629447104
Geobacillus	Segment	DI	0.235182894350736	0.160816305912488	47	25	0.151066050948534	0.364392339396964
Romboutsia	plin2	plin2	0.0703147322583697	0.0480011594150615	47	24	0.151830141415401	0.364392339396964
Aliivibrio	foxp3	foxp3	-0.42036814521123	0.293440664069414	47	16	0.159626890389667	0.380987937283624
Clostridium.sensu.stricto.8	Diet	IM	1.64442412427748	1.04522429214669	47	19	0.163863551494308	0.385276504503611
Corynebacterium.1	Segment	DI	-0.175745907734955	0.121851448754283	47	46	0.164099251918205	0.385276504503611
Paraclostridium	foxp3	foxp3	-0.374026150978028	0.26331410073809	47	37	0.163327189440161	0.385276504503611
Psychrilyobacter	foxp3	foxp3	-0.252360809245483	0.179177362432625	47	31	0.166360413669234	0.388474047054644
o__Bacillales	Segment	DI	0.517025632845748	0.362685249652901	47	43	0.167924415145189	0.389833819244075
Ureibacillus	plin2	plin2	0.182728845430071	0.130307083951234	47	46	0.168747509719079	0.389833819244075
f__Bacillaceae	Segment	DI	-0.374920327202972	0.269820414054028	47	45	0.17318512480246	0.397957308056716
Saccharopolyspora	Segment	DI	-0.645694856964736	0.479126356974509	47	17	0.18499581797	0.42284758393143
p__RsaHF231	Segment	DI	-0.0905311720430784	0.0668031216738136	47	24	0.18936678090103	0.430560259732867
Clostridium.sensu.stricto.18	foxp3	foxp3	-0.344656630486339	0.259995185247242	47	22	0.192394516179309	0.435154088950059
Peptoniphilus	foxp3	foxp3	-0.287450425886134	0.218575232068726	47	27	0.195608530657793	0.440119193980035
Aerococcus	plin2	plin2	0.304725572789707	0.232784972814613	47	13	0.199111054858885	0.444499118785608
Microbacterium	Segment	DI	-0.100954174089641	0.0774676368606255	47	24	0.199613030195389	0.444499118785608
Bacillus	foxp3	foxp3	0.139695922761556	0.108126193363433	47	47	0.203437867714363	0.450693122321051
Allofustis	Segment	DI	-0.442990333551739	0.344893988558413	47	12	0.212388314699292	0.463392686616636
Brochothrix	Segment	DI	-0.391869409423778	0.308411603355169	47	17	0.211948065132214	0.463392686616636
Lactobacillus	plin2	plin2	-0.0504553779006989	0.0398180888688926	47	47	0.212084026997079	0.463392686616636
Bacillus	plin2	plin2	0.127787167394613	0.101903894458552	47	47	0.216892404705963	0.470841803180784
f__Enterococcaceae	foxp3	foxp3	-0.184468886518559	0.149512967374477	47	43	0.224442034316074	0.483351817597186
Globicatella	Segment	DI	-0.446457118723289	0.362456219907278	47	46	0.224892859576469	0.483351817597186
Tissierella	plin2	plin2	-0.386123675018138	0.316491274681331	47	16	0.230352152070344	0.492634305417766
f__Bacillaceae	foxp3	foxp3	-0.196580987792454	0.163164044764693	47	45	0.235699949976888	0.501588070886777
Lysinibacillus	foxp3	foxp3	0.273300360416978	0.228872432513411	47	43	0.239305870202746	0.504859642468222
Weissella	plin2	plin2	-0.108155326276943	0.0906600822784258	47	47	0.239574598856448	0.504859642468222
Psychrilyobacter	plin2	plin2	-0.198808180110027	0.168291232711493	47	31	0.244116211646873	0.511933026366257
Enterococcus	plin2	plin2	-0.15295412821699	0.130739899451292	47	46	0.248632722869883	0.516391039806679
Shewanella	foxp3	foxp3	-0.237481494534913	0.202854775322903	47	12	0.248320222165782	0.516391039806679
Acidipropionibacterium	plin2	plin2	-0.281834600476066	0.243869689940732	47	24	0.255429611242178	0.522040156931273
Atopostipes	foxp3	foxp3	-0.431162204421831	0.372444653036302	47	23	0.253611205592581	0.522040156931273
Bacillus	Segment	DI	0.218787650133904	0.189935677805968	47	47	0.25705664659418	0.522040156931273
f__Planococcaceae	plin2	plin2	-0.211160530408676	0.182524525187332	47	41	0.254864480650212	0.522040156931273
Kocuria	plin2	plin2	-0.232871137941827	0.202068424600519	47	12	0.257394799598058	0.522040156931273
Leucobacter	foxp3	foxp3	0.342410830173531	0.301258665137772	47	41	0.262148828628694	0.529197635362597
Carnobacterium	foxp3	foxp3	-0.288876266479933	0.25639738910164	47	22	0.266373244107501	0.535224378857862
Geobacillus	plin2	plin2	-0.092023296388134	0.0845947616103831	47	25	0.282880834405968	0.565761668811935
Lysinibacillus	Segment	DI	0.419342405839681	0.384187514087929	47	43	0.286695823267706	0.569351226840099
Peptostreptococcus	Segment	DI	-0.319144216047658	0.291363419366439	47	46	0.287311498729494	0.569351226840099
Comamonas	foxp3	foxp3	-0.409830866200287	0.382171135547442	47	21	0.289674834579157	0.571413372320529
Flavobacterium	plin2	plin2	-0.358641399223778	0.337501084991038	47	17	0.294018255583135	0.577344938235974
Cerasibacillus	foxp3	foxp3	-0.156684591263283	0.153216690773436	47	16	0.312338354674891	0.593969018177798
f__Bacillaceae	plin2	plin2	0.15988103294528	0.155974790691277	47	45	0.31171954637086	0.593969018177798
f__Eggerthellaceae	plin2	plin2	-0.203813102036075	0.198610547185357	47	23	0.311406812809789	0.593969018177798
f__Family.XI	plin2	plin2	-0.21872029845553	0.210940398098888	47	12	0.305723967886428	0.593969018177798
Oceanobacillus	foxp3	foxp3	-0.217744393923806	0.211036018182155	47	39	0.308076636028364	0.593969018177798
Tepidimicrobium	Segment	DI	-0.200108941004421	0.195748388385146	47	29	0.313483648482727	0.593969018177798
Tissierella	foxp3	foxp3	-0.349965024099009	0.338624036343696	47	16	0.30743828256102	0.593969018177798
Virgibacillus	plin2	plin2	-0.127795203513016	0.123676222530018	47	12	0.307374862650262	0.593969018177798
Jeotgalicoccus	foxp3	foxp3	-0.270942963117769	0.266756166097958	47	17	0.315590139924726	0.595349084923501
f__Clostridiaceae.1	foxp3	foxp3	-0.35001217024568	0.346183038528004	47	36	0.317844224310034	0.596994369138846
Clostridium.sensu.stricto.15	plin2	plin2	0.295461139509423	0.295034423099296	47	22	0.322764305773791	0.601009396958094
Sporosarcina	foxp3	foxp3	0.334564945020049	0.334348499520088	47	26	0.322730077009202	0.601009396958094
Lysinibacillus	plin2	plin2	-0.211366053452352	0.214745076076686	47	43	0.331409732410263	0.614459124779334
Shewanella	Segment	DI	-0.354857706025421	0.362201461909988	47	12	0.332832025922139	0.614459124779334
Fusobacterium	plin2	plin2	-0.277089303539338	0.286810798246038	47	31	0.339522011893292	0.621497920075857
Gracilibacillus	foxp3	foxp3	0.0334209890401432	0.0345098076400464	47	23	0.338364249099393	0.621497920075857
Anaerosporobacter	foxp3	foxp3	-0.201515145237212	0.20951181816172	47	14	0.341639435122677	0.622735172881841
Glutamicibacter	Segment	DI	0.325371567295067	0.340417661200014	47	21	0.344642142981745	0.625568931798797
Saccharopolyspora	plin2	plin2	-0.240116895158538	0.252036506618714	47	17	0.346189657104064	0.625748668907764
Aliivibrio	Segment	DI	-0.469831910763844	0.497165752200653	47	16	0.350937642861057	0.629066646124385
Carnobacterium	Segment	DI	0.383706224950258	0.401899593220558	47	22	0.350234649704678	0.629066646124385
Aliivibrio	plin2	plin2	-0.259960018027595	0.278826837305615	47	16	0.356576559886876	0.632495310910624
Brevibacillus	Diet	IM	0.466830199364922	0.49934396165446	47	35	0.355190800462724	0.632495310910624
Cellulosimicrobium	foxp3	foxp3	-0.128349455926122	0.139590257500229	47	21	0.36309915996721	0.632495310910624
Empedobacter	foxp3	foxp3	-0.269492040511469	0.29216521225875	47	16	0.361598841619032	0.632495310910624
Erysipelatoclostridium	foxp3	foxp3	-0.191216962722984	0.206002835572924	47	17	0.358594948457547	0.632495310910624
f__Acidaminococcaceae	Segment	DI	-0.393705276347278	0.420479427436659	47	19	0.359445686969912	0.632495310910624
Nosocomiicoccus	Segment	DI	-0.305828679685188	0.328536204990747	47	32	0.362639585170046	0.632495310910624
f__Eggerthellaceae	Segment	DI	0.335267255042323	0.36166919123394	47	23	0.36516399342188	0.633537530756033
Streptococcus	foxp3	foxp3	0.210447963510144	0.231153399954166	47	43	0.367793735943063	0.635547575709613
Atopobium	Segment	DI	0.367557552670849	0.41204808670417	47	16	0.382496761801563	0.642951755246206
